CustomerID,Recency,Frequency,Monetary,Segment
CUST106786,317,2,30798.58821446528,At Risk
CUST103416,317,3,35819.65721639989,At Risk
CUST100128,317,3,91569.76091617378,At Risk
CUST100590,319,3,126368.39063621363,At Risk
CUST100837,321,3,194164.8555105938,At Risk
CUST101051,322,4,230446.37620092474,At Risk
CUST107330,322,1,45013.19559964844,At Risk
CUST102579,322,2,55218.97368820793,At Risk
CUST105156,323,2,68308.12398066223,At Risk
CUST104773,324,3,161239.16246169718,At Risk
CUST103020,324,3,74102.37594628357,At Risk
CUST104467,324,1,88110.46107279233,At Risk
CUST104964,324,3,194158.86592864158,At Risk
CUST102518,324,3,66052.9498047302,At Risk
CUST100673,325,4,37397.26654887271,At Risk
CUST104828,325,3,55448.38846234472,At Risk
CUST100719,325,4,59791.47283569722,At Risk
CUST107523,326,2,54566.74752002396,At Risk
CUST105034,326,3,34537.58100123117,At Risk
CUST106475,326,3,97678.3828434876,At Risk
CUST102172,327,1,72868.33144964378,At Risk
CUST106367,328,3,177699.09125259973,At Risk
CUST100074,328,3,117899.2062513729,At Risk
CUST102403,329,2,56385.13874163973,At Risk
CUST105831,331,3,60937.36139161776,At Risk
CUST100607,331,3,39840.47504465796,At Risk
CUST105690,331,3,59585.37059689123,At Risk
CUST101858,333,3,143690.14765518636,At Risk
CUST104281,333,3,82051.58694045473,At Risk
CUST102352,333,3,92141.31506628578,At Risk
CUST104982,334,4,44783.28560609283,At Risk
CUST103995,336,1,41338.62356373575,At Risk
CUST100221,336,4,110059.3254965831,At Risk
CUST102842,336,4,65798.80645505303,At Risk
CUST101003,337,4,110859.293577335,At Risk
CUST105868,337,1,31613.964538513028,At Risk
CUST107289,337,3,75845.72755999892,At Risk
CUST107242,337,3,44847.934671826464,At Risk
CUST100739,337,2,181938.36387915252,At Risk
CUST105287,337,3,57585.52901848182,At Risk
CUST100344,338,4,47096.676548249736,At Risk
CUST101308,338,3,81385.12809220076,At Risk
CUST102833,339,2,104428.77474025551,At Risk
CUST102904,341,4,43820.9143409493,At Risk
CUST100609,342,4,45396.93312952667,At Risk
CUST102211,342,3,60808.31769711661,At Risk
CUST101876,343,3,89257.47945052192,At Risk
CUST102568,343,4,147226.65482263797,At Risk
CUST104445,344,3,254733.74198661826,At Risk
CUST103468,346,3,143644.80093282033,At Risk
CUST106870,346,3,42620.27204184593,At Risk
CUST105371,348,3,75970.20040819548,At Risk
CUST101678,349,4,116369.7383924335,At Risk
CUST104835,349,4,86776.9861419232,At Risk
CUST100029,350,4,32623.843256948712,At Risk
CUST107975,351,1,42586.6742860008,At Risk
CUST107236,351,1,45871.88567124712,At Risk
CUST107784,352,3,185068.88978944696,At Risk
CUST102170,353,4,53316.20757700271,At Risk
CUST107823,354,3,41836.335447262536,At Risk
CUST105276,354,2,98779.0176568376,At Risk
CUST102717,355,2,57687.72741985526,At Risk
CUST101629,355,4,326413.1395357746,At Risk
CUST106792,356,3,83768.70801071296,At Risk
CUST100932,357,3,162139.59901930642,At Risk
CUST105802,357,2,86395.45819494584,At Risk
CUST100661,357,2,57844.82709266619,At Risk
CUST106082,358,1,41081.18337610104,At Risk
CUST104550,359,4,225581.66143546597,At Risk
CUST105244,360,2,68944.36882477262,At Risk
CUST105860,361,2,63008.89321003883,At Risk
CUST100991,363,3,74599.82710126907,At Risk
CUST101328,364,3,85483.90376765747,At Risk
CUST100882,364,4,153309.93201003203,At Risk
CUST105172,365,3,73958.36529126407,At Risk
CUST107082,368,3,89317.38204469596,At Risk
CUST107322,369,2,113094.9115388653,At Risk
CUST106647,370,2,132783.05653960424,At Risk
CUST107409,370,3,48097.019870996504,At Risk
CUST102252,370,2,32595.625509420282,At Risk
CUST107730,371,3,103176.48552646142,At Risk
CUST102015,371,3,37973.49073732733,At Risk
CUST104446,371,3,100302.39057700198,At Risk
CUST107290,372,1,63452.046199649194,At Risk
CUST103845,372,1,41504.03236396997,At Risk
CUST106043,374,3,152287.73467170828,At Risk
CUST101997,374,1,70259.45250774926,At Risk
CUST103474,375,4,43344.63293281005,At Risk
CUST101319,375,3,71202.04309220056,At Risk
CUST103538,376,2,74984.38869119169,At Risk
CUST103764,377,4,34141.044001035,At Risk
CUST104101,378,3,109980.38958585938,At Risk
CUST103940,378,3,30039.612876745778,At Risk
CUST103505,378,4,104431.58254541236,At Risk
CUST105420,378,2,55610.78633992414,At Risk
CUST100123,379,4,89597.04860933218,At Risk
CUST100245,379,4,136951.449435519,At Risk
CUST102149,379,3,67486.42951656264,At Risk
CUST106679,380,3,197478.65006242163,At Risk
CUST103719,380,2,54684.62476315146,At Risk
CUST107160,381,3,112435.76794056655,At Risk
CUST104347,383,1,49500.71407584956,At Risk
CUST100860,383,2,104203.40134037146,At Risk
CUST107794,384,2,79765.76431877135,At Risk
CUST103378,385,3,201452.42840468715,At Risk
CUST101236,385,3,67152.14223323949,At Risk
CUST100534,388,4,43678.0379364872,At Risk
CUST103931,389,3,84326.64458394863,At Risk
CUST104427,389,2,38565.290640684,At Risk
CUST105013,390,2,62882.539418317734,At Risk
CUST101480,390,4,51767.9135386145,At Risk
CUST103767,391,4,149431.3125317147,At Risk
CUST100402,391,4,38236.8158977619,At Risk
CUST105502,391,3,82195.98882128662,At Risk
CUST107312,392,3,42120.75042209364,At Risk
CUST105251,392,3,74158.44066422703,At Risk
CUST102551,393,3,80436.98565624462,At Risk
CUST104243,393,2,80540.56834061957,At Risk
CUST106329,394,3,214321.66268488136,At Risk
CUST100359,395,2,139398.99314882205,At Risk
CUST104528,395,3,37499.170876564865,At Risk
CUST100289,396,3,31802.515619083733,At Risk
CUST106886,397,2,95747.2874401355,At Risk
CUST107363,397,3,147925.6980557683,At Risk
CUST101765,398,3,40501.84203051907,At Risk
CUST102819,399,3,107931.49037338274,At Risk
CUST107605,399,3,40666.50054462348,At Risk
CUST104800,400,2,127795.50959637327,At Risk
CUST100934,400,4,101653.36921371486,At Risk
CUST104208,400,1,30164.737193783607,At Risk
CUST105115,400,2,95060.75103604492,At Risk
CUST102215,401,3,248779.3141758576,At Risk
CUST101798,403,3,199690.2364261481,At Risk
CUST100130,404,2,53199.866498420946,At Risk
CUST101902,404,1,52489.94130926933,At Risk
CUST106150,405,3,239953.171558421,At Risk
CUST102592,405,3,157777.8529753832,At Risk
CUST100746,407,4,115929.24101408855,At Risk
CUST101057,408,3,41842.95506061984,At Risk
CUST102603,409,3,98040.50332256533,At Risk
CUST101054,409,3,45280.26806995373,At Risk
CUST103889,409,3,210797.70052782568,At Risk
CUST101441,409,3,37798.482649100726,At Risk
CUST103840,410,4,195283.37019413977,At Risk
CUST102230,410,4,39081.90853538377,At Risk
CUST103424,410,3,33273.02482542591,At Risk
