CustomerID,Age,Tenure_Years,Balance,IsActiveMember,RiskScore,RiskCategory,Churn
3824,23,0,23965.159962081983,0,100,High Risk,1
2291,50,0,35505.51103028843,0,100,High Risk,1
6825,36,0,81924.27606390981,0,100,High Risk,1
1783,50,1,10471.507613775522,0,100,High Risk,1
9272,60,0,24402.129705896503,0,100,High Risk,1
4192,55,0,34620.40219074178,0,100,High Risk,1
4129,46,0,61056.33339984454,0,100,High Risk,1
4224,55,0,28627.196478064554,0,100,High Risk,1
10810,41,2,9975.817652822072,0,100,High Risk,1
1112,44,0,3930.002575862457,0,100,High Risk,1
6716,38,0,22595.81070086267,0,100,High Risk,0
10254,25,0,11749.095825712348,0,100,High Risk,1
7764,70,0,5844.430423017632,0,100,High Risk,1
7790,55,0,68588.99647693604,0,100,High Risk,1
7609,33,0,80914.52320133144,0,100,High Risk,1
1847,49,0,28790.60034717812,0,100,High Risk,1
4397,52,0,30385.267331048515,0,100,High Risk,1
7361,58,0,59915.29645654783,0,100,High Risk,1
6848,30,0,1071.7753542333896,0,100,High Risk,1
2523,41,1,4742.786622687928,0,100,High Risk,1
8020,45,0,80054.60040388675,0,100,High Risk,1
6079,50,0,15037.720935093812,0,100,High Risk,1
6085,59,0,70038.9464775679,0,100,High Risk,1
4406,18,2,81650.72006549426,0,100,High Risk,0
8072,30,0,81922.362360657,0,100,High Risk,1
6750,30,0,27649.11416724,0,100,High Risk,1
8676,33,1,15799.824282332009,0,100,High Risk,1
10582,23,1,33264.55822902366,0,100,High Risk,1
10177,63,1,76422.98642302411,0,100,High Risk,1
4967,49,0,11094.501890318576,0,100,High Risk,1
6203,47,0,76914.50318075813,0,100,High Risk,1
1606,73,0,34819.61828606509,0,100,High Risk,1
1938,55,1,26217.80525280365,0,100,High Risk,1
10911,48,2,40154.32329983809,0,100,High Risk,1
5744,51,0,6308.721396700523,0,100,High Risk,1
7719,71,0,21179.624220021316,0,95,High Risk,1
7544,42,0,32440.826824499032,0,95,High Risk,1
9407,75,1,45875.296825892365,0,95,High Risk,1
3388,31,0,46255.69424693979,0,95,High Risk,0
7699,28,0,1981.3645018568748,0,95,High Risk,1
1213,59,2,35954.9423839772,0,95,High Risk,0
1312,61,0,35971.59358883478,0,95,High Risk,1
2788,33,0,10945.980167468728,0,95,High Risk,1
4567,48,0,109364.55682429264,0,95,High Risk,1
10165,59,0,76490.67579726005,0,95,High Risk,1
8776,54,2,49860.98806488629,0,95,High Risk,1
2956,65,1,42263.33254185016,0,95,High Risk,1
10449,39,0,140884.13405789327,0,95,High Risk,1
5753,41,0,55798.23993004593,0,95,High Risk,1
9453,31,0,9670.815224500057,0,95,High Risk,1
1394,72,0,31577.481655513744,0,95,High Risk,1
3532,31,0,53821.30626929788,0,95,High Risk,1
10195,29,2,71839.95909540872,0,95,High Risk,1
7458,59,0,62064.52851824687,0,95,High Risk,1
10245,40,0,74094.30119426205,0,95,High Risk,1
10375,32,0,67639.42667910091,0,95,High Risk,1
3202,42,0,40928.99532521929,0,95,High Risk,1
5905,54,0,50403.71550746786,0,95,High Risk,0
4573,49,0,45906.182346046626,0,95,High Risk,1
2386,49,2,4652.75408903934,0,95,High Risk,1
4438,25,0,16845.993532441844,0,95,High Risk,1
6480,61,0,46253.22303824761,0,95,High Risk,1
2865,64,0,55547.29405207517,0,95,High Risk,1
6754,24,0,58185.03684770693,0,95,High Risk,1
9585,41,0,148668.31159747517,0,95,High Risk,1
9849,37,2,69978.39242402748,0,95,High Risk,1
4493,52,2,14444.798015777333,0,95,High Risk,1
1721,49,0,13645.077647381764,0,95,High Risk,1
4235,25,0,20218.15096187507,0,95,High Risk,1
3725,74,0,35296.49614492958,0,95,High Risk,1
1764,43,2,80313.0440658383,0,95,High Risk,1
3886,37,0,65691.00947856352,0,95,High Risk,0
2665,64,0,52489.18006225295,0,95,High Risk,0
5090,39,0,67329.5403398211,0,95,High Risk,1
8285,63,2,71356.92128111834,0,95,High Risk,1
8714,49,0,6151.5072812475255,0,95,High Risk,1
