CustomerID,Recency,Frequency,Monetary,Segment
CUST106469,2,15,1011863.5276982598,Champions
CUST101398,280,15,910380.0742035141,Champions
CUST107185,14,15,907980.5353219688,Champions
CUST100887,8,15,903397.2682218151,Champions
CUST104816,761,15,899015.5844995319,Loyal Customers
CUST102658,13,15,877460.2877972876,Champions
CUST103207,211,15,871787.8954602976,Champions
CUST100311,1,15,868857.1765772272,Champions
CUST103745,591,15,852810.4078410966,Loyal Customers
CUST107389,703,15,833297.3002092927,Loyal Customers
CUST107988,173,15,820701.9855347573,Champions
CUST106118,724,15,819004.2796717102,Loyal Customers
CUST104443,27,15,791614.1376378905,Champions
CUST102847,656,15,778924.5437845162,Loyal Customers
CUST106001,448,15,762256.3699325228,Loyal Customers
CUST107467,1,15,748509.1547114347,Champions
CUST106264,587,15,746299.334598329,Loyal Customers
CUST102813,17,10,741075.0560299332,Champions
CUST105072,316,10,735407.0938872265,Champions
CUST105107,597,15,732212.2377319298,Loyal Customers
CUST106293,719,15,728460.2279421997,Loyal Customers
CUST101073,31,10,716875.8164370618,Champions
CUST102134,2,15,715812.4603885497,Champions
CUST105611,333,15,705799.1138705804,Loyal Customers
CUST106189,403,15,695110.3544658059,Loyal Customers
CUST102491,730,10,690324.2457541618,Loyal Customers
CUST104326,355,10,684803.9337046383,Loyal Customers
CUST101451,573,15,676660.9261428901,Loyal Customers
CUST101631,199,15,666379.634415364,Champions
CUST103272,212,10,663017.536056888,Champions
CUST105918,600,10,658153.6420492944,Loyal Customers
CUST107191,230,15,650788.7492398602,Champions
CUST104322,30,8,647026.7321385927,Champions
CUST101675,39,10,638722.1131998342,Champions
CUST104503,14,10,632428.7136604758,Champions
CUST106662,693,10,625193.8764978981,Loyal Customers
CUST107518,731,10,621157.2186385619,Loyal Customers
CUST107283,431,15,616434.8169869811,Loyal Customers
CUST100869,523,10,615592.2979415568,Loyal Customers
CUST104236,498,8,615397.198488511,Loyal Customers
CUST104010,669,10,610660.2368991056,Loyal Customers
CUST101694,73,15,609027.6772575594,Champions
CUST104204,509,10,608110.3141971822,Loyal Customers
CUST102915,3,10,605224.3850773923,Champions
CUST107400,206,10,603411.5636616487,Champions
CUST106018,340,10,601900.291091751,Loyal Customers
CUST105281,378,8,601396.8890559317,Loyal Customers
CUST104190,592,10,597711.9051706874,Loyal Customers
CUST106258,434,10,592077.4519609652,Loyal Customers
CUST104356,5,8,591568.590885673,Champions
CUST106982,1,15,589592.946666196,Champions
CUST106817,168,8,587054.3405578341,Champions
CUST102507,3,8,585788.1918839258,Champions
CUST103722,33,10,584082.7443655531,Champions
CUST104031,754,10,583537.7579049793,Loyal Customers
CUST104582,207,10,580203.7355888695,Champions
CUST103815,8,10,576692.0664348907,Champions
CUST107095,517,10,576242.8335514057,Loyal Customers
CUST100291,738,10,573813.7677745132,Loyal Customers
CUST103070,719,10,573627.237431446,Loyal Customers
CUST101101,614,10,573514.2246028469,Loyal Customers
CUST102133,519,10,571264.8990526468,Loyal Customers
CUST100819,364,10,568037.3089899466,Loyal Customers
CUST106266,79,10,564499.9135426825,Champions
CUST104389,189,8,562902.3265205562,Champions
CUST100757,499,15,562687.7785784736,Loyal Customers
CUST106822,590,8,561069.6015176917,Loyal Customers
CUST107829,500,8,552469.4421461032,Loyal Customers
CUST106306,2,8,551371.1894507003,Champions
CUST107935,548,15,550147.3235758605,Loyal Customers
CUST106636,63,10,549386.4994652224,Champions
CUST105669,127,10,548788.4237049898,Champions
CUST101575,182,10,544495.6686963342,Champions
CUST103633,645,10,543908.9320401767,Loyal Customers
CUST103962,75,10,541520.2339297165,Champions
CUST105434,2,8,541116.9128618811,Champions
CUST100066,434,10,538364.2525451712,Loyal Customers
CUST106983,1,10,537816.9949498847,Champions
CUST101335,20,10,536491.2352231401,Champions
CUST105746,416,8,536251.1710570843,Loyal Customers
CUST104544,6,10,536061.6801518212,Champions
CUST103467,8,8,535723.3089655454,Champions
CUST102652,22,8,535457.4250739627,Champions
CUST101229,71,10,533973.4123225329,Champions
CUST106326,69,10,531881.935121457,Champions
CUST106641,13,8,530788.9018059339,Champions
CUST106928,588,15,529809.9141785142,Loyal Customers
CUST102227,28,10,529776.2281932939,Champions
CUST103805,4,8,524607.7835620183,Champions
CUST100264,459,10,523301.0583129007,Loyal Customers
CUST101940,353,8,519195.8101011477,Loyal Customers
CUST100093,383,10,518741.6612065992,Loyal Customers
CUST102597,739,10,518457.226761113,Loyal Customers
CUST101356,584,8,516812.076236161,Loyal Customers
CUST102702,175,10,514989.7896667055,Champions
CUST105417,477,10,514985.24161626503,Loyal Customers
CUST102751,12,8,513508.0553895842,Champions
CUST106253,180,10,512579.099052844,Champions
CUST101837,6,15,510554.85395947273,Champions
CUST105713,477,10,509983.8928799664,Loyal Customers
CUST101385,653,8,508628.7632282068,Loyal Customers
CUST107992,129,8,508221.5794988133,Champions
CUST100088,805,8,508081.14330205315,Loyal Customers
CUST100585,6,10,508008.46630286437,Champions
CUST100262,44,10,507379.0948883897,Champions
CUST107147,280,8,507330.14164465416,Champions
CUST106374,108,8,506773.05337741354,Champions
CUST101840,22,8,506749.477207721,Champions
CUST100599,610,8,505941.65467665065,Loyal Customers
CUST105834,384,8,505235.89252394624,Loyal Customers
CUST100850,171,10,504936.5045810827,Champions
CUST106810,3,10,504771.4443571082,Champions
CUST105871,784,6,504594.77584782674,Loyal Customers
CUST103440,589,8,504322.47894960106,Loyal Customers
CUST102451,5,8,504172.2924116476,Champions
CUST101807,10,10,504160.5348534029,Champions
CUST104659,422,8,503831.29844397557,Loyal Customers
CUST101744,108,10,503129.24335073144,Champions
CUST107659,109,10,502723.9093106965,Champions
CUST104617,15,10,501588.281459098,Champions
CUST104292,147,8,501257.0350084916,Champions
CUST107104,737,10,500640.77674496354,Loyal Customers
CUST107720,314,8,500522.0485320908,Champions
CUST103498,31,8,499631.95896362094,Champions
CUST104821,663,10,499290.68236995756,Loyal Customers
CUST102522,50,8,497389.8409392497,Champions
CUST105748,46,10,496743.31849881675,Champions
CUST103139,16,10,494606.05891341413,Champions
CUST103985,44,10,494281.2869412977,Champions
CUST100132,161,8,494047.6711708856,Champions
CUST100956,3,6,493669.8314198188,Champions
CUST100895,664,8,491513.9191733169,Loyal Customers
CUST100099,283,8,491393.5463390708,Champions
CUST107036,656,8,487996.8826714229,Loyal Customers
CUST107980,121,10,483293.32637902134,Champions
CUST106816,559,10,482855.85453598946,Loyal Customers
CUST104710,290,8,482494.2892697641,Champions
CUST102982,103,8,482142.20257869345,Champions
CUST105028,512,8,481986.81879533856,Loyal Customers
CUST100189,581,8,481889.31201748014,Loyal Customers
CUST107270,24,8,481128.7363159999,Champions
CUST100943,664,8,476089.4229419738,Loyal Customers
CUST101994,33,8,474178.08510635025,Champions
CUST106041,4,10,472631.5181612257,Champions
CUST102146,2,10,471307.6795135367,Champions
CUST104677,445,10,471277.83195507486,Loyal Customers
CUST106586,297,10,470510.60341133305,Champions
CUST107424,5,15,470352.9510606234,Champions
CUST107843,24,8,470263.30121068005,Champions
CUST103503,103,8,468008.87156485347,Champions
CUST101298,727,8,466387.14294670575,Loyal Customers
CUST102153,54,6,466221.90882754425,Champions
CUST100532,752,8,464331.9652815961,Loyal Customers
CUST100321,220,8,463404.70663099986,Champions
CUST102530,66,8,462248.94422979915,Champions
CUST105475,9,8,461762.08137410966,Champions
CUST104169,329,10,461564.4041989288,Loyal Customers
CUST103231,385,8,460616.03545424534,Loyal Customers
CUST103907,464,8,459099.0484733896,Loyal Customers
CUST103039,11,8,458955.5489791314,Champions
CUST105664,13,8,458054.029342539,Champions
CUST101878,248,8,457381.2369166699,Champions
CUST103190,699,8,457133.8848589298,Loyal Customers
CUST102257,650,6,456768.90209835407,Loyal Customers
CUST106098,702,8,456210.7147997068,Loyal Customers
CUST101898,40,8,455899.10332225263,Champions
CUST104878,12,15,454830.76901937154,Champions
CUST100358,622,8,454212.74902719725,Loyal Customers
CUST106546,516,8,454070.3511593571,Loyal Customers
CUST104301,244,8,453599.32359951147,Champions
CUST105656,9,8,452282.2467809816,Champions
CUST105184,218,6,452277.65107499796,Champions
CUST106494,437,8,452087.6459730546,Loyal Customers
CUST107034,467,8,451579.6195727013,Loyal Customers
CUST103525,219,10,451392.8779854924,Champions
CUST103097,215,8,450976.3851155171,Champions
CUST101672,46,8,450801.2280116901,Champions
CUST105951,559,10,449140.9846817587,Loyal Customers
CUST102492,507,10,446974.51283571986,Loyal Customers
CUST105716,247,8,446454.0346722899,Champions
CUST105554,513,5,444220.7643849147,Loyal Customers
CUST104094,159,15,444196.10574666096,Champions
CUST106750,147,10,444020.46841272217,Champions
CUST106015,127,15,442551.17153511295,Champions
CUST102920,67,8,442156.09632739215,Champions
CUST102399,293,10,441384.839274456,Champions
CUST105155,23,6,437844.61637190613,Champions
CUST106220,488,8,437599.19894354505,Loyal Customers
CUST100024,641,8,436829.2691528622,Loyal Customers
CUST107456,468,8,436399.79261924047,Loyal Customers
CUST102901,87,10,433220.37012142985,Champions
